user_id,date,renderedContent
257611566,2023-04-14 16:48:45+00:00,I rated Almost Famous (2000) 8/10 #IMDb imdb.com/title/tt0181875
1131650342301642754,2023-04-14 16:44:14+00:00,"جميل اللعنة✨
I rated X: First Class (2011) 8.5/10 #IMDb  imdb.com/title/tt1270798"
26009607,2023-04-14 16:36:41+00:00,"Міцна поліцейська драма, давно таких не завозили.

I rated Blue Lights (2023– ) 9/10 #IMDb imdb.com/title/tt144660…"
7994192,2023-04-14 16:34:03+00:00,I rated Inside (2023) 5/10 #IMDb imdb.com/title/tt147810…
1480066420520194048,2023-04-14 15:44:55+00:00,"الله يلعىن اليهود

I rated Goodbye, Children (1987) 8/10 #IMDb imdb.com/title/tt0092593"
21386707,2023-04-14 15:34:58+00:00,I rated The Super Mario Bros. Movie (2023) 7/10 #IMDb imdb.com/title/tt6718170
100020123,2023-04-14 14:25:36+00:00,I rated The Lost King (2022) 7/10  #IMDb imdb.com/title/tt134214…
471894826,2023-04-14 14:20:09+00:00,I rated Guy and Madeline on a Park Bench (2009) 6/10 #IMDb imdb.com/title/tt1337193
1563981169800118275,2023-04-14 14:08:23+00:00,I rated Betting on Zero (2016) 9/10 #IMDb  imdb.com/title/tt3762912
220473449,2023-04-14 14:04:23+00:00,I rated Plane (2023) 5/10 #IMDb imdb.com/title/tt5884796
220473449,2023-04-14 14:03:48+00:00,I rated Operation Fortune: Ruse de Guerre (2023) 5/10 #IMDb imdb.com/title/tt7985704
1509078936814333953,2023-04-14 13:57:52+00:00,I rated Tetris (2023) 10/10 #IMDb imdb.com/title/tt127580…
356388383,2023-04-14 13:51:11+00:00,I rated La La Land (2016) 10/10 #IMDb imdb.com/title/tt3783958
