,links
91,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2397535', 'url': 'https://www.imdb.com/title/tt2397535', 'tcourl': 'https://t.co/YFBHioLuWn', 'indices': [192, 215]}]"
92,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6718170', 'url': 'https://www.imdb.com/title/tt6718170', 'tcourl': 'https://t.co/PvOy0yqSI9', 'indices': [51, 74]}]"
93,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt116864…', 'url': 'https://www.imdb.com/title/tt11686490', 'tcourl': 'https://t.co/amZDwUJmEn', 'indices': [118, 141]}]"
94,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2442560', 'url': 'https://www.imdb.com/title/tt2442560', 'tcourl': 'https://t.co/qVtRrcbJMW', 'indices': [46, 69]}]"
95,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3315342', 'url': 'https://www.imdb.com/title/tt3315342', 'tcourl': 'https://t.co/fIJYf1fF4R', 'indices': [94, 117]}]"
96,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt161527…', 'url': 'https://www.imdb.com/title/tt16152716', 'tcourl': 'https://t.co/5llU6PsAtZ', 'indices': [43, 66]}]"
97,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt209473…', 'url': 'https://www.imdb.com/title/tt20947396', 'tcourl': 'https://t.co/Rfh5C5Tmn1', 'indices': [50, 73]}]"
98,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3076658', 'url': 'https://www.imdb.com/title/tt3076658', 'tcourl': 'https://t.co/BcB1hFAnhI', 'indices': [88, 111]}]"
99,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157678…', 'url': 'https://www.imdb.com/title/tt15767808', 'tcourl': 'https://t.co/DYSKc6JBwd', 'indices': [228, 251]}]"
100,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0418647', 'url': 'https://www.imdb.com/title/tt0418647', 'tcourl': 'https://t.co/VNaT83KElC', 'indices': [60, 83]}]"
101,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2560078', 'url': 'https://www.imdb.com/title/tt2560078', 'tcourl': 'https://t.co/4bod43p05I', 'indices': [126, 149]}]"
102,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6443346', 'url': 'https://www.imdb.com/title/tt6443346', 'tcourl': 'https://t.co/zMd5wkiF2V', 'indices': [37, 60]}]"
103,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt131309…', 'url': 'https://www.imdb.com/title/tt13130948', 'tcourl': 'https://t.co/hBSo1nssCK', 'indices': [154, 177]}]"
104,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt153340…', 'url': 'https://www.imdb.com/title/tt15334032', 'tcourl': 'https://t.co/u1EhHX3OoL', 'indices': [45, 68]}]"
105,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103707…', 'url': 'https://www.imdb.com/title/tt10370710', 'tcourl': 'https://t.co/bUDGYfBmRx', 'indices': [57, 80]}]"
106,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3599918', 'url': 'https://www.imdb.com/title/tt3599918', 'tcourl': 'https://t.co/rBG1mLdXup', 'indices': [85, 108]}]"
107,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt211519…', 'url': 'https://www.imdb.com/title/tt21151974', 'tcourl': 'https://t.co/5SgZfxJuqC', 'indices': [257, 280]}]"
